# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 000 
# Bias = 0101 
# CSArefs = 1011 
# Shaper = 011 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 11111111111111111111111111111111 
# Calibration mask = 00000000000000000000000000000000 
# Threshold = 255 
# FineTHR[0] = 000 
# FineTHR[1] = 000 
# FineTHR[2] = 000 
# FineTHR[3] = 000 
# FineTHR[4] = 000 
# FineTHR[5] = 000 
# FineTHR[6] = 000 
# FineTHR[7] = 000 
# FineTHR[8] = 000 
# FineTHR[9] = 000 
# FineTHR[10] = 000 
# FineTHR[11] = 000 
# FineTHR[12] = 000 
# FineTHR[13] = 000 
# FineTHR[14] = 000 
# FineTHR[15] = 000 
# FineTHR[16] = 000 
# FineTHR[17] = 000 
# FineTHR[18] = 000 
# FineTHR[19] = 000 
# FineTHR[20] = 000 
# FineTHR[21] = 000 
# FineTHR[22] = 000 
# FineTHR[23] = 000 
# FineTHR[24] = 000 
# FineTHR[25] = 000 
# FineTHR[26] = 000 
# FineTHR[27] = 000 
# FineTHR[28] = 000 
# FineTHR[29] = 000 
# FineTHR[30] = 000 
# FineTHR[31] = 000 
# ------------------------------------------------------------------------------
# Event data block #1
# Threshold	DAC	Events	Triggered	CH#
200	0	1000	0	0
200	0	1000	0	1
200	0	1000	1	2
200	0	1000	0	3
200	0	1000	34	4
200	0	1000	33	5
200	0	1000	59	6
200	0	1000	64	7
200	0	1000	65	8
200	0	1000	72	9
200	0	1000	61	10
200	0	1000	38	11
200	0	1000	22	12
200	0	1000	0	13
200	0	1000	0	14
200	0	1000	0	15
200	0	1000	0	16
200	0	1000	0	17
200	0	1000	6	18
200	0	1000	0	19
200	0	1000	74	20
200	0	1000	43	21
200	0	1000	106	22
200	0	1000	106	23
200	0	1000	110	24
200	0	1000	104	25
200	0	1000	33	26
200	0	1000	56	27
200	0	1000	7	28
200	0	1000	0	29
200	0	1000	0	30
200	0	1000	0	31
# Event data block #2
# Threshold	DAC	Events	Triggered	CH#
201	0	1000	1	0
201	0	1000	0	1
201	0	1000	8	2
201	0	1000	2	3
201	0	1000	28	4
201	0	1000	28	5
201	0	1000	64	6
201	0	1000	73	7
201	0	1000	78	8
201	0	1000	83	9
201	0	1000	69	10
201	0	1000	27	11
201	0	1000	22	12
201	0	1000	2	13
201	0	1000	0	14
201	0	1000	1	15
201	0	1000	0	16
201	0	1000	1	17
201	0	1000	13	18
201	0	1000	1	19
201	0	1000	77	20
201	0	1000	44	21
201	0	1000	106	22
201	0	1000	113	23
201	0	1000	115	24
201	0	1000	103	25
201	0	1000	27	26
201	0	1000	62	27
201	0	1000	12	28
201	0	1000	0	29
201	0	1000	0	30
201	0	1000	1	31
# Event data block #3
# Threshold	DAC	Events	Triggered	CH#
202	0	1000	0	0
202	0	1000	0	1
202	0	1000	10	2
202	0	1000	2	3
202	0	1000	38	4
202	0	1000	33	5
202	0	1000	67	6
202	0	1000	69	7
202	0	1000	75	8
202	0	1000	82	9
202	0	1000	69	10
202	0	1000	40	11
202	0	1000	26	12
202	0	1000	3	13
202	0	1000	0	14
202	0	1000	1	15
202	0	1000	0	16
202	0	1000	1	17
202	0	1000	12	18
202	0	1000	1	19
202	0	1000	81	20
202	0	1000	50	21
202	0	1000	124	22
202	0	1000	127	23
202	0	1000	131	24
202	0	1000	123	25
202	0	1000	33	26
202	0	1000	67	27
202	0	1000	11	28
202	0	1000	0	29
202	0	1000	0	30
202	0	1000	1	31
# Event data block #4
# Threshold	DAC	Events	Triggered	CH#
203	0	1000	0	0
203	0	1000	0	1
203	0	1000	10	2
203	0	1000	0	3
203	0	1000	45	4
203	0	1000	37	5
203	0	1000	68	6
203	0	1000	68	7
203	0	1000	70	8
203	0	1000	87	9
203	0	1000	68	10
203	0	1000	45	11
203	0	1000	29	12
203	0	1000	1	13
203	0	1000	0	14
203	0	1000	1	15
203	0	1000	0	16
203	0	1000	0	17
203	0	1000	17	18
203	0	1000	0	19
203	0	1000	78	20
203	0	1000	52	21
203	0	1000	127	22
203	0	1000	122	23
203	0	1000	123	24
203	0	1000	129	25
203	0	1000	41	26
203	0	1000	64	27
203	0	1000	16	28
203	0	1000	0	29
203	0	1000	0	30
203	0	1000	0	31
# Event data block #5
# Threshold	DAC	Events	Triggered	CH#
204	0	1000	1	0
204	0	1000	0	1
204	0	1000	17	2
204	0	1000	3	3
204	0	1000	43	4
204	0	1000	39	5
204	0	1000	69	6
204	0	1000	70	7
204	0	1000	73	8
204	0	1000	80	9
204	0	1000	72	10
204	0	1000	43	11
204	0	1000	29	12
204	0	1000	3	13
204	0	1000	0	14
204	0	1000	1	15
204	0	1000	0	16
204	0	1000	1	17
204	0	1000	21	18
204	0	1000	0	19
204	0	1000	88	20
204	0	1000	53	21
204	0	1000	134	22
204	0	1000	138	23
204	0	1000	140	24
204	0	1000	138	25
204	0	1000	38	26
204	0	1000	71	27
204	0	1000	20	28
204	0	1000	1	29
204	0	1000	0	30
204	0	1000	2	31
# Event data block #6
# Threshold	DAC	Events	Triggered	CH#
205	0	1000	4	0
205	0	1000	1	1
205	0	1000	23	2
205	0	1000	4	3
205	0	1000	44	4
205	0	1000	41	5
205	0	1000	73	6
205	0	1000	71	7
205	0	1000	77	8
205	0	1000	91	9
205	0	1000	82	10
205	0	1000	44	11
205	0	1000	36	12
205	0	1000	6	13
205	0	1000	0	14
205	0	1000	4	15
205	0	1000	0	16
205	0	1000	4	17
205	0	1000	25	18
205	0	1000	2	19
205	0	1000	93	20
205	0	1000	48	21
205	0	1000	136	22
205	0	1000	140	23
205	0	1000	139	24
205	0	1000	142	25
205	0	1000	40	26
205	0	1000	73	27
205	0	1000	24	28
205	0	1000	1	29
205	0	1000	0	30
205	0	1000	4	31
# Event data block #7
# Threshold	DAC	Events	Triggered	CH#
206	0	1000	1	0
206	0	1000	0	1
206	0	1000	30	2
206	0	1000	2	3
206	0	1000	47	4
206	0	1000	42	5
206	0	1000	70	6
206	0	1000	69	7
206	0	1000	77	8
206	0	1000	90	9
206	0	1000	75	10
206	0	1000	46	11
206	0	1000	39	12
206	0	1000	3	13
206	0	1000	0	14
206	0	1000	2	15
206	0	1000	0	16
206	0	1000	2	17
206	0	1000	30	18
206	0	1000	1	19
206	0	1000	102	20
206	0	1000	49	21
206	0	1000	151	22
206	0	1000	151	23
206	0	1000	151	24
206	0	1000	150	25
206	0	1000	40	26
206	0	1000	74	27
206	0	1000	29	28
206	0	1000	0	29
206	0	1000	0	30
206	0	1000	2	31
# Event data block #8
# Threshold	DAC	Events	Triggered	CH#
207	0	1000	3	0
207	0	1000	2	1
207	0	1000	45	2
207	0	1000	3	3
