GAIN AT LOW ENERGIES
-----------------------------------------------------------------
Linear Fit in range [50 - 100] DAC_inj code
Cubic Fit in range [0 - 500] DAC_inj code
-----------------------------------------------------------------
INDEX
l_g_m: Gain obtained with linear fit and mean values
l_i_m: Intercept obtained with linear fit and mean values
l_r2_m: R^2 obtained with linear fit and mean values
l_rs_m: Residuals obtained with linear fit and mean values
l_g_mwo: Gain obtained with linear fit and mean values without outliers
l_i_mwo: Intercept obtained with linear fit and mean values without outliers
l_r2_mwo: R^2 obtained with linear fit and mean values without outliers
l_rs_mwo: Residuals obtained with linear fit and mean values without outliers
3_g_m: Gain obtained in x=0 with cubic fit and mean values
3_i_m: Intercept obtained with cubic fit and mean values
3_r2_m: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values
3_rs_m: Residuals obtained with cubic fit and mean values
3_g_mwo: Gain obtained in x=0 with cubic fit and mean values without outliers
3_i_mwo: Intercept obtained with cubic fit and mean values without outliers
3_r2_mwo: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values without outliers
3_rs_mwo: Residuals obtained with cubic fit and mean values without outliers
-----------------------------------------------------------------
ch	pt	l_g_m	l_i_m	l_r2_m	l_rs_m	l_g_mwo	l_i_mwo	l_r2_mwo	l_rs_mwo	3_g_m	3_i_m	3_r2_m	3_rs_m	3_g_mwo	3_i_mwo	3_r2_mwo	3_rs_mwo
 0	 0	1.087	207.060	0.9974	1.234	1.105	205.988	0.9996	0.493	1.390	194.894	0.9999	2.884	1.357	196.387	0.9999	1.852
 0	 1	1.049	199.970	0.9979	1.077	1.007	203.642	0.9992	0.636	1.193	195.931	0.9975	1.952	1.178	197.166	0.9978	1.207
 0	 2	0.990	200.500	0.9965	1.310	0.943	203.674	1.0000	0.089	1.106	196.687	0.9981	1.949	1.107	196.378	0.9980	2.059
 0	 3	0.971	200.460	0.9956	1.441	0.976	199.507	0.9988	0.766	1.081	196.593	0.9980	2.853	1.086	195.891	0.9980	1.666
 0	 4	0.850	205.445	0.9985	0.728	0.888	203.648	0.9962	1.229	0.937	200.202	0.9990	2.822	1.007	197.637	0.9985	2.302
 0	 5	0.929	199.190	0.9977	1.000	0.927	198.807	0.9991	0.626	1.019	195.514	0.9985	2.633	1.026	195.162	0.9983	1.934
 0	 6	0.821	203.980	0.9903	1.820	0.903	198.287	0.9983	0.833	0.952	196.596	0.9982	3.782	0.990	195.198	0.9986	1.762
 0	 7	0.862	200.335	0.9978	0.910	0.895	197.501	0.9948	1.444	0.968	195.114	0.9979	1.714	0.966	195.016	0.9982	1.873
 1	 0	1.053	157.280	0.9973	1.226	1.056	157.407	0.9995	0.507	1.312	148.460	0.9998	2.844	1.295	149.286	0.9999	1.768
 1	 1	1.018	152.095	0.9969	1.279	0.975	155.802	0.9987	0.772	1.147	149.436	0.9972	2.633	1.120	151.264	0.9980	1.292
 1	 2	0.965	153.175	0.9972	1.148	0.925	155.977	0.9991	0.604	1.077	150.433	0.9978	2.017	1.084	150.081	0.9978	2.099
 1	 3	0.966	152.085	0.9966	1.270	0.949	152.442	0.9978	0.991	1.052	150.655	0.9978	2.816	1.049	150.265	0.9975	1.910
 1	 4	0.853	156.960	0.9990	0.597	0.896	154.451	0.9992	0.553	0.930	153.390	0.9988	2.597	1.001	150.691	0.9982	1.601
 1	 5	0.898	153.715	0.9992	0.561	0.894	153.475	0.9990	0.616	1.004	149.822	0.9985	1.722	1.003	149.681	0.9983	1.443
 1	 6	0.792	158.715	0.9893	1.843	0.855	154.528	0.9985	0.736	0.942	150.742	0.9979	3.914	0.976	149.398	0.9984	2.003
 1	 7	0.832	155.155	0.9992	0.512	0.853	153.113	0.9982	0.803	0.951	149.497	0.9978	1.574	0.948	149.544	0.9983	1.245
 2	 0	1.077	202.110	0.9947	1.757	1.092	201.184	0.9997	0.387	1.438	187.406	0.9998	3.328	1.390	189.361	1.0000	1.602
 2	 1	1.088	191.625	0.9963	1.484	1.032	196.480	0.9980	1.037	1.240	188.275	0.9972	2.761	1.216	190.183	0.9980	1.653
 2	 2	1.035	191.745	0.9907	2.248	1.005	193.416	0.9972	1.192	1.142	189.519	0.9979	3.057	1.163	188.232	0.9973	2.190
 2	 3	1.015	192.010	0.9910	2.165	1.014	191.039	0.9983	0.948	1.123	189.523	0.9977	4.035	1.133	188.166	0.9972	2.104
 2	 4	0.868	197.920	0.9978	0.908	0.924	195.124	0.9890	2.181	0.964	192.816	0.9990	3.249	1.060	189.297	0.9982	3.219
 2	 5	0.952	192.015	0.9961	1.326	0.951	191.469	0.9977	1.019	1.067	187.581	0.9982	3.732	1.064	187.706	0.9981	2.661
 2	 6	0.821	198.250	0.9785	2.718	0.943	189.651	0.9979	0.972	0.985	189.196	0.9978	5.298	1.028	187.666	0.9985	2.462
 2	 7	0.869	194.305	0.9986	0.721	0.901	191.295	0.9953	1.387	1.012	187.337	0.9974	2.056	1.004	187.508	0.9980	1.496
 3	 0	1.101	165.090	0.9886	2.643	1.113	164.866	0.9992	0.689	1.427	153.561	0.9997	4.538	1.354	156.944	0.9999	1.776
 3	 1	1.135	152.985	0.9916	2.341	1.051	160.364	0.9965	1.398	1.227	154.516	0.9964	4.975	1.198	157.236	0.9975	2.622
 3	 2	1.025	158.140	0.9862	2.710	0.980	160.580	0.9999	0.194	1.107	157.587	0.9977	3.829	1.122	156.490	0.9975	2.868
 3	 3	1.037	156.550	0.9861	2.751	1.007	156.799	0.9961	1.416	1.092	157.717	0.9975	5.543	1.089	156.494	0.9967	3.012
 3	 4	0.797	168.370	0.9954	1.212	0.858	165.367	0.9864	2.251	0.864	163.320	0.9992	4.911	1.007	157.956	0.9984	3.251
 3	 5	0.938	159.320	0.9970	1.148	0.929	158.589	0.9998	0.289	1.029	155.828	0.9985	4.024	1.023	155.827	0.9981	2.611
 3	 6	0.741	170.010	0.9537	3.651	0.919	157.484	0.9966	1.207	0.922	158.491	0.9976	7.516	0.996	155.764	0.9987	2.673
 3	 7	0.800	165.815	0.9984	0.721	0.826	163.147	0.9956	1.232	0.986	155.227	0.9971	2.987	0.976	155.414	0.9978	1.798
 4	 0	1.084	180.390	0.9836	3.127	1.094	180.665	0.9972	1.303	1.513	163.325	0.9993	6.240	1.393	168.610	0.9999	2.494
 4	 1	1.201	161.055	0.9865	3.136	1.060	173.203	0.9973	1.241	1.268	165.273	0.9956	7.232	1.201	170.054	0.9979	2.929
 4	 2	1.089	167.130	0.9750	3.896	1.035	170.060	0.9999	0.235	1.141	169.125	0.9975	5.482	1.133	168.920	0.9974	3.650
 4	 3	1.110	164.600	0.9816	3.395	1.056	166.606	0.9866	2.751	1.123	169.275	0.9971	8.473	1.130	167.633	0.9963	4.301
 4	 4	0.743	184.675	0.9928	1.419	0.850	179.542	0.9756	3.003	0.803	178.219	0.9992	7.293	1.003	171.063	0.9988	4.996
 4	 5	0.970	170.675	0.9949	1.547	0.945	171.334	0.9999	0.165	1.065	166.792	0.9985	6.152	1.072	167.055	0.9980	3.254
 4	 6	0.707	184.615	0.9051	5.120	0.941	168.355	0.9949	1.506	0.908	170.849	0.9966	10.869	0.998	167.840	0.9988	3.416
 4	 7	0.799	178.790	0.9933	1.471	0.846	174.197	0.9869	2.179	0.998	166.926	0.9963	4.087	0.988	167.123	0.9979	2.830
 5	 0	1.092	179.590	0.9503	5.588	1.110	179.887	0.9992	0.712	1.591	159.303	0.9987	9.002	1.414	167.661	0.9999	2.217
 5	 1	1.268	155.770	0.9753	4.515	1.081	172.563	0.9936	1.935	1.324	162.124	0.9948	9.313	1.248	168.723	0.9976	3.207
 5	 2	1.095	166.535	0.9532	5.428	1.051	169.418	0.9996	0.447	1.152	168.219	0.9971	7.158	1.166	167.681	0.9969	4.131
 5	 3	1.175	159.930	0.9714	4.509	1.100	163.515	0.9900	2.471	1.160	167.590	0.9965	11.602	1.141	167.289	0.9956	5.244
 5	 4	0.666	188.640	0.9965	0.881	0.774	185.109	0.9473	4.084	0.748	178.790	0.9986	10.303	1.009	170.294	0.9985	6.893
 5	 5	1.006	167.730	0.9933	1.846	0.979	168.500	0.9991	0.649	1.079	165.467	0.9988	6.820	1.100	165.421	0.9976	4.412
 5	 6	0.670	186.505	0.8936	5.168	0.962	166.863	0.9984	0.869	0.900	169.859	0.9958	13.215	1.007	166.957	0.9990	4.136
 5	 7	0.783	179.970	0.9902	1.743	0.878	171.991	0.9949	1.408	1.025	165.025	0.9957	5.412	1.000	166.542	0.9981	2.209
 6	 0	1.004	186.150	0.8962	7.640	1.064	184.176	0.9979	1.100	1.611	159.131	0.9978	12.071	1.420	168.515	0.9997	3.328
 6	 1	1.371	147.070	0.9635	5.967	1.049	175.653	0.9826	3.117	1.319	162.470	0.9930	13.097	1.219	171.182	0.9973	4.920
 6	 2	1.094	166.940	0.9446	5.926	1.039	170.710	0.9999	0.272	1.153	168.971	0.9963	8.607	1.147	169.565	0.9967	5.222
 6	 3	1.199	158.745	0.9471	6.339	1.105	164.282	0.9729	4.126	1.130	170.338	0.9955	15.188	1.147	168.714	0.9949	6.673
 6	 4	0.562	194.885	0.9831	1.650	0.740	188.484	0.9234	4.763	0.623	183.882	0.9970	13.225	0.952	173.965	0.9986	8.090
