# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 010 
# Bias = 0101 
# CSArefs = 1011 
# Shaper = 100 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 00000000000000000000000000001000 
# Calibration mask = 00000000000000000000000000001000 
# Threshold = 200 
# FineTHR[0] = 011 
# FineTHR[1] = 011 
# FineTHR[2] = 011 
# FineTHR[3] = 011 
# FineTHR[4] = 011 
# FineTHR[5] = 011 
# FineTHR[6] = 011 
# FineTHR[7] = 011 
# FineTHR[8] = 011 
# FineTHR[9] = 011 
# FineTHR[10] = 011 
# FineTHR[11] = 011 
# FineTHR[12] = 011 
# FineTHR[13] = 011 
# FineTHR[14] = 011 
# FineTHR[15] = 011 
# FineTHR[16] = 011 
# FineTHR[17] = 011 
# FineTHR[18] = 011 
# FineTHR[19] = 011 
# FineTHR[20] = 011 
# FineTHR[21] = 011 
# FineTHR[22] = 011 
# FineTHR[23] = 011 
# FineTHR[24] = 011 
# FineTHR[25] = 011 
# FineTHR[26] = 011 
# FineTHR[27] = 011 
# FineTHR[28] = 011 
# FineTHR[29] = 011 
# FineTHR[30] = 011 
# FineTHR[31] = 011 
# ------------------------------------------------------------------------------
# Event data block #1
# Delay	DAC	Type	CH#	Value
ST	1000	11	0	0
ST	1000	10	3	616
ST	1000	10	3	242
ST	1000	10	3	607
ST	1000	10	3	628
ST	1000	10	3	611
ST	1000	10	3	613
ST	1000	10	3	626
ST	1000	10	3	614
ST	1000	10	3	608
ST	1000	10	3	600
ST	1000	10	3	612
ST	1000	10	3	586
ST	1000	10	3	608
ST	1000	10	3	573
ST	1000	10	3	610
ST	1000	10	3	616
ST	1000	10	3	557
ST	1000	11	0	0
ST	1000	10	3	575
ST	1000	10	3	615
ST	1000	10	3	607
ST	1000	10	3	605
ST	1000	10	3	602
ST	1000	10	3	613
ST	1000	10	3	624
ST	1000	10	3	610
ST	1000	10	3	610
ST	1000	10	3	590
ST	1000	10	3	609
ST	1000	10	3	629
ST	1000	10	3	611
ST	1000	10	3	610
ST	1000	10	3	602
ST	1000	10	3	609
ST	1000	10	3	649
ST	1000	10	3	609
ST	1000	10	3	616
ST	1000	10	3	608
ST	1000	10	3	584
ST	1000	10	3	614
ST	1000	10	3	598
ST	1000	10	3	612
ST	1000	10	3	604
ST	1000	10	3	612
ST	1000	10	3	609
ST	1000	10	3	605
ST	1000	10	3	614
ST	1000	10	3	590
ST	1000	10	3	610
ST	1000	10	3	610
ST	1000	10	3	659
ST	1000	10	3	613
ST	1000	10	3	570
ST	1000	10	3	608
ST	1000	10	3	613
ST	1000	10	3	601
ST	1000	10	3	610
ST	1000	10	3	607
ST	1000	10	3	605
ST	1000	10	3	612
ST	1000	10	3	596
ST	1000	10	3	611
ST	1000	10	3	588
ST	1000	10	3	612
ST	1000	10	3	610
ST	1000	10	3	590
ST	1000	10	3	606
ST	1000	10	3	576
ST	1000	10	3	611
ST	1000	10	3	612
ST	1000	10	3	610
ST	1000	10	3	598
ST	1000	10	3	608
ST	1000	10	3	608
ST	1000	10	3	613
ST	1000	10	3	606
ST	1000	10	3	610
ST	1000	10	3	612
ST	1000	10	3	602
ST	1000	10	3	609
ST	1000	10	3	609
ST	1000	10	3	613
ST	1000	10	3	611
ST	1000	10	3	607
ST	1000	10	3	609
ST	1000	10	3	610
ST	1000	10	3	594
ST	1000	10	3	606
ST	1000	10	3	623
ST	1000	10	3	609
ST	1000	10	3	613
ST	1000	10	3	245
ST	1000	10	3	609
ST	1000	10	3	644
ST	1000	10	3	618
ST	1000	10	3	610
ST	1000	10	3	241
ST	1000	10	3	613
ST	1000	10	3	606
