INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	9.198	8.481	7.851	7.232
 0	 1	6.277	5.971	5.532	5.261
 0	 2	6.159	6.123	5.619	5.606
 0	 3	5.453	5.389	5.103	5.052
 0	 4	5.935	5.927	5.761	5.769
 0	 5	7.064	6.963	6.860	6.762
 0	 6	6.661	6.525	6.644	6.515
 0	 7	6.674	6.670	6.832	6.843
 1	 0	6.933	6.398	5.782	5.348
 1	 1	7.754	7.344	6.590	6.276
 1	 2	7.068	6.923	6.306	6.177
 1	 3	8.705	8.702	7.929	7.920
 1	 4	6.381	6.348	6.008	5.981
 1	 5	7.634	7.399	7.188	6.963
 1	 6	7.777	7.546	7.434	7.217
 1	 7	8.403	8.246	8.273	8.130
 2	 0	7.348	6.796	5.981	5.560
 2	 1	6.133	5.863	5.354	5.114
 2	 2	7.266	7.189	6.547	6.491
 2	 3	5.710	5.713	5.234	5.240
 2	 4	6.652	6.655	6.309	6.311
 2	 5	5.950	5.924	5.594	5.577
 2	 6	7.750	7.722	7.283	7.225
 2	 7	6.864	6.737	6.539	6.421
 3	 0	6.472	6.039	5.372	5.014
 3	 1	5.689	5.464	4.882	4.708
 3	 2	6.772	6.620	5.905	5.780
 3	 3	7.155	7.117	6.334	6.289
 3	 4	5.615	5.574	5.092	5.068
 3	 5	6.374	6.246	5.755	5.654
 3	 6	5.900	5.782	5.374	5.259
 3	 7	8.181	8.066	7.591	7.512
 4	 0	5.183	4.795	4.364	4.030
 4	 1	5.615	5.463	4.947	4.824
 4	 2	5.191	5.127	4.740	4.675
 4	 3	5.378	5.370	4.922	4.929
 4	 4	6.010	5.985	5.557	5.544
 4	 5	5.710	5.635	5.294	5.229
 4	 6	6.327	6.274	5.944	5.887
 4	 7	6.365	6.278	6.203	6.117
 5	 0	4.329	4.123	3.631	3.470
 5	 1	5.286	5.109	4.686	4.546
 5	 2	5.026	4.962	4.639	4.571
 5	 3	4.798	4.740	4.529	4.470
 5	 4	4.963	4.918	4.829	4.798
 5	 5	5.253	5.198	5.066	5.016
 5	 6	5.300	5.168	5.214	5.093
 5	 7	5.834	5.776	5.824	5.767
 6	 0	4.393	4.159	3.599	3.367
 6	 1	4.655	4.571	3.961	3.886
 6	 2	4.751	4.705	4.167	4.131
 6	 3	4.832	4.739	4.285	4.223
 6	 4	5.368	5.363	4.816	4.820
 6	 5	4.973	4.869	4.500	4.407
 6	 6	6.575	6.506	5.997	5.941
 6	 7	5.697	5.670	5.222	5.191
 7	 0	3.656	3.559	3.039	2.944
 7	 1	4.332	4.251	3.769	3.706
 7	 2	4.272	4.248	3.760	3.706
 7	 3	4.832	4.803	4.311	4.294
 7	 4	5.055	5.016	4.621	4.585
 7	 5	5.229	5.080	4.742	4.611
 7	 6	5.296	5.112	5.049	4.879
 7	 7	5.129	5.107	4.908	4.888
 8	 0	4.392	4.385	3.507	3.478
 8	 1	4.578	4.503	3.934	3.870
 8	 2	4.564	4.461	4.101	4.031
 8	 3	4.454	4.343	4.047	3.945
 8	 4	4.952	4.828	4.631	4.547
 8	 5	4.380	4.248	4.072	3.944
 8	 6	4.669	4.547	4.503	4.420
 8	 7	4.569	4.449	4.382	4.308
 9	 0	5.038	4.890	4.092	3.965
 9	 1	5.055	5.004	4.168	4.129
 9	 2	5.222	5.075	4.455	4.314
 9	 3	5.040	5.047	4.395	4.398
 9	 4	5.302	5.295	4.721	4.719
 9	 5	5.284	5.229	4.674	4.625
 9	 6	4.738	4.565	4.272	4.128
 9	 7	4.773	4.763	4.342	4.318
10	 0	4.639	4.332	3.861	3.607
10	 1	4.632	4.517	4.132	4.039
10	 2	4.253	4.247	4.010	3.987
10	 3	4.830	4.740	4.564	4.476
10	 4	4.390	4.365	4.237	4.215
10	 5	4.968	4.931	4.782	4.764
10	 6	4.595	4.437	4.609	4.456
