INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	2.382	2.316	2.027	1.971
 0	 1	2.391	2.217	2.139	1.983
 0	 2	2.347	2.308	2.206	2.173
 0	 3	2.287	2.255	2.223	2.195
 0	 4	2.334	2.286	2.283	2.237
 0	 5	2.363	2.329	2.397	2.366
 0	 6	2.424	2.356	2.444	2.387
 0	 7	2.488	2.465	2.530	2.513
 1	 0	2.588	2.549	2.106	2.080
 1	 1	2.465	2.375	2.136	2.057
 1	 2	2.417	2.402	2.142	2.128
 1	 3	2.297	2.266	2.097	2.073
 1	 4	2.306	2.268	2.136	2.101
 1	 5	2.472	2.405	2.319	2.249
 1	 6	2.530	2.479	2.377	2.330
 1	 7	2.587	2.470	2.443	2.333
 2	 0	2.688	2.643	2.230	2.194
 2	 1	2.582	2.528	2.267	2.219
 2	 2	2.540	2.537	2.277	2.283
 2	 3	2.537	2.480	2.280	2.231
 2	 4	2.560	2.512	2.299	2.255
 2	 5	2.703	2.636	2.462	2.404
 2	 6	2.725	2.679	2.514	2.473
 2	 7	2.820	2.769	2.634	2.588
 3	 0	2.714	2.725	2.208	2.210
 3	 1	2.652	2.647	2.217	2.221
 3	 2	2.574	2.572	2.295	2.297
 3	 3	2.553	2.556	2.301	2.309
 3	 4	2.569	2.559	2.328	2.321
 3	 5	2.648	2.647	2.451	2.449
 3	 6	2.666	2.653	2.490	2.473
 3	 7	2.752	2.758	2.622	2.624
 4	 0	2.418	2.388	1.955	1.929
 4	 1	2.530	2.476	2.114	2.069
 4	 2	2.318	2.302	2.017	2.006
 4	 3	2.426	2.380	2.163	2.123
 4	 4	2.466	2.435	2.212	2.186
 4	 5	2.438	2.390	2.241	2.191
 4	 6	2.546	2.504	2.362	2.325
 4	 7	2.668	2.647	2.482	2.466
 5	 0	2.367	2.329	1.884	1.851
 5	 1	2.351	2.333	1.991	1.978
 5	 2	2.461	2.403	2.128	2.083
 5	 3	2.490	2.424	2.216	2.166
 5	 4	2.599	2.535	2.292	2.238
 5	 5	2.499	2.449	2.280	2.234
 5	 6	2.650	2.637	2.424	2.416
 5	 7	2.576	2.510	2.360	2.302
 6	 0	2.786	2.751	2.193	2.185
 6	 1	2.816	2.822	2.330	2.329
 6	 2	2.597	2.571	2.244	2.230
 6	 3	2.566	2.549	2.223	2.209
 6	 4	2.529	2.501	2.250	2.231
 6	 5	2.568	2.519	2.320	2.275
 6	 6	2.632	2.568	2.386	2.328
 6	 7	2.662	2.634	2.442	2.406
 7	 0	2.881	2.777	2.319	2.230
 7	 1	2.781	2.701	2.296	2.233
 7	 2	2.765	2.698	2.423	2.366
 7	 3	2.542	2.518	2.263	2.248
 7	 4	2.710	2.702	2.455	2.448
 7	 5	2.711	2.639	2.540	2.473
 7	 6	2.747	2.727	2.614	2.602
 7	 7	2.861	2.827	2.761	2.726
 8	 0	3.426	3.352	2.703	2.653
 8	 1	3.104	3.074	2.620	2.590
 8	 2	2.948	2.880	2.587	2.535
 8	 3	3.072	3.013	2.776	2.725
 8	 4	3.174	3.157	2.802	2.782
 8	 5	3.204	3.201	2.910	2.900
 8	 6	3.449	3.430	3.220	3.212
 8	 7	3.850	3.831	3.530	3.521
 9	 0	2.556	2.535	2.056	2.036
 9	 1	2.634	2.655	2.235	2.234
 9	 2	2.511	2.495	2.217	2.213
 9	 3	2.623	2.586	2.380	2.363
 9	 4	2.947	2.954	2.624	2.621
 9	 5	2.993	3.004	2.744	2.745
 9	 6	2.960	2.940	2.812	2.795
 9	 7	3.229	3.228	2.998	3.001
10	 0	2.798	2.722	2.220	2.178
10	 1	2.640	2.543	2.228	2.145
10	 2	2.699	2.622	2.396	2.325
10	 3	2.616	2.505	2.330	2.244
10	 4	2.779	2.625	2.511	2.366
10	 5	2.872	2.812	2.627	2.570
10	 6	2.993	2.975	2.784	2.781
10	 7	3.216	3.113	2.975	2.881
11	 0	2.668	2.646	2.160	2.145
11	 1	2.574	2.553	2.224	2.208
11	 2	2.644	2.632	2.354	2.351
11	 3	2.731	2.743	2.433	2.441
11	 4	2.686	2.625	2.439	2.406
11	 5	2.826	2.824	2.599	2.600
11	 6	3.120	3.136	2.924	2.934
11	 7	3.271	3.252	2.977	2.970
12	 0	2.811	2.809	2.260	2.249
12	 1	2.700	2.662	2.316	2.276
12	 2	2.687	2.632	2.404	2.365
12	 3	2.728	2.730	2.492	2.496
12	 4	3.013	2.960	2.686	2.643
12	 5	3.174	3.122	2.893	2.849
12	 6	3.299	3.274	3.081	3.078
12	 7	3.641	3.622	3.340	3.354
13	 0	2.676	2.659	2.199	2.186
13	 1	2.838	2.825	2.444	2.447
13	 2	2.762	2.733	2.454	2.435
13	 3	2.769	2.736	2.499	2.472
13	 4	2.981	2.929	2.718	2.664
13	 5	3.135	3.109	2.929	2.894
13	 6	3.425	3.375	3.323	3.285
13	 7	3.688	3.707	3.441	3.440
14	 0	2.488	2.468	2.006	1.991
14	 1	2.440	2.408	2.105	2.079
14	 2	2.535	2.379	2.296	2.153
14	 3	2.629	2.547	2.384	2.313
14	 4	2.836	2.741	2.594	2.519
14	 5	3.074	2.975	2.896	2.810
14	 6	3.241	3.166	3.117	3.043
14	 7	3.505	3.451	3.303	3.265
15	 0	2.658	2.642	2.215	2.203
15	 1	2.902	2.893	2.469	2.456
15	 2	2.831	2.817	2.533	2.523
15	 3	3.096	3.073	2.777	2.758
15	 4	3.278	3.245	2.964	2.972
15	 5	3.401	3.381	3.175	3.143
15	 6	3.717	3.691	3.570	3.557
15	 7	3.996	3.996	3.790	3.797
16	 0	2.645	2.625	2.166	2.150
16	 1	2.657	2.563	2.277	2.194
16	 2	2.514	2.415	2.227	2.141
16	 3	2.592	2.518	2.360	2.301
16	 4	2.614	2.584	2.409	2.380
16	 5	2.635	2.574	2.509	2.447
16	 6	2.737	2.702	2.661	2.638
16	 7	2.794	2.763	2.724	2.690
17	 0	2.704	2.640	2.169	2.112
17	 1	2.496	2.463	2.175	2.137
17	 2	2.397	2.293	2.175	2.081
17	 3	2.345	2.275	2.163	2.103
17	 4	2.396	2.337	2.210	2.151
17	 5	2.350	2.270	2.171	2.100
17	 6	2.557	2.449	2.379	2.284
17	 7	2.668	2.609	2.523	2.463
18	 0	2.692	2.653	2.226	2.191
18	 1	2.644	2.558	2.278	2.210
18	 2	2.576	2.540	2.292	2.261
18	 3	2.487	2.413	2.248	2.187
18	 4	2.590	2.539	2.328	2.288
18	 5	2.606	2.522	2.409	2.336
18	 6	2.728	2.663	2.529	2.471
18	 7	2.860	2.848	2.660	2.650
19	 0	2.480	2.457	1.996	1.974
19	 1	2.562	2.563	2.232	2.234
19	 2	2.478	2.465	2.215	2.209
19	 3	2.442	2.425	2.276	2.261
19	 4	2.632	2.579	2.419	2.376
19	 5	2.517	2.510	2.399	2.387
19	 6	2.672	2.666	2.539	2.523
19	 7	2.679	2.652	2.575	2.553
20	 0	2.523	2.500	2.059	2.026
20	 1	2.668	2.673	2.295	2.296
20	 2	2.492	2.429	2.249	2.189
20	 3	2.547	2.431	2.318	2.209
20	 4	2.578	2.537	2.390	2.352
20	 5	2.639	2.582	2.479	2.422
20	 6	2.723	2.677	2.608	2.567
20	 7	2.882	2.799	2.731	2.658
21	 0	2.299	2.268	1.906	1.884
21	 1	2.302	2.237	2.028	1.974
