ch	pt	fine_thr_mean	fine_thr_mean_wo_outliers
 0	 0	 3	 3
 0	 1	 3	 3
 0	 2	 3	 3
 0	 3	 3	 3
 0	 4	 3	 3
 0	 5	 3	 3
 0	 6	 3	 3
 0	 7	 3	 3
 1	 0	 5	 5
 1	 1	 5	 5
 1	 2	 5	 5
 1	 3	 5	 5
 1	 4	 5	 5
 1	 5	 5	 5
 1	 6	 5	 5
 1	 7	 5	 5
 2	 0	 0	 0
 2	 1	 0	 0
 2	 2	 0	 0
 2	 3	 0	 0
 2	 4	 0	 0
 2	 5	 0	 0
 2	 6	 0	 0
 2	 7	 0	 0
 3	 0	 0	 0
 3	 1	 0	 0
 3	 2	 0	 0
 3	 3	 0	 0
 3	 4	 0	 0
 3	 5	 0	 0
 3	 6	 0	 0
 3	 7	 0	 0
 4	 0	 3	 3
 4	 1	 3	 3
 4	 2	 3	 3
 4	 3	 3	 3
 4	 4	 3	 3
 4	 5	 3	 3
 4	 6	 3	 3
 4	 7	 3	 3
 5	 0	 7	 7
 5	 1	 7	 7
 5	 2	 7	 7
 5	 3	 7	 7
 5	 4	 7	 7
 5	 5	 7	 7
 5	 6	 7	 7
 5	 7	 7	 7
 6	 0	 0	 0
 6	 1	 0	 0
 6	 2	 0	 0
 6	 3	 0	 0
 6	 4	 0	 0
 6	 5	 0	 0
 6	 6	 0	 0
 6	 7	 0	 0
 7	 0	 2	 2
 7	 1	 2	 2
 7	 2	 2	 2
 7	 3	 2	 2
 7	 4	 2	 2
 7	 5	 2	 2
 7	 6	 2	 2
 7	 7	 2	 2
 8	 0	 4	 4
 8	 1	 3	 4
 8	 2	 4	 4
 8	 3	 3	 3
 8	 4	 3	 3
 8	 5	 3	 4
 8	 6	 4	 4
 8	 7	 3	 4
 9	 0	 7	 7
 9	 1	 7	 7
 9	 2	 7	 7
 9	 3	 7	 7
 9	 4	 7	 7
 9	 5	 7	 7
 9	 6	 7	 7
 9	 7	 7	 7
10	 0	 3	 3
10	 1	 3	 3
10	 2	 3	 3
10	 3	 3	 3
10	 4	 3	 3
10	 5	 3	 3
10	 6	 3	 3
10	 7	 3	 3
11	 0	 6	 6
11	 1	 6	 6
11	 2	 6	 6
11	 3	 6	 6
11	 4	 6	 6
11	 5	 6	 6
11	 6	 6	 6
11	 7	 6	 6
12	 0	 7	 7
12	 1	 7	 7
12	 2	 7	 7
12	 3	 7	 7
12	 4	 7	 7
12	 5	 7	 7
12	 6	 7	 7
12	 7	 7	 7
13	 0	 0	 0
13	 1	 0	 0
13	 2	 0	 0
13	 3	 0	 0
13	 4	 0	 0
13	 5	 0	 0
13	 6	 0	 0
13	 7	 0	 0
14	 0	 3	 4
14	 1	 3	 4
14	 2	 3	 4
14	 3	 3	 3
14	 4	 3	 4
14	 5	 3	 3
14	 6	 3	 4
14	 7	 3	 3
15	 0	 0	 0
15	 1	 0	 0
15	 2	 0	 0
15	 3	 0	 0
15	 4	 0	 0
15	 5	 0	 0
15	 6	 0	 0
15	 7	 0	 0
16	 0	 2	 2
16	 1	 2	 2
16	 2	 2	 2
16	 3	 2	 2
16	 4	 2	 2
16	 5	 2	 2
16	 6	 2	 2
16	 7	 2	 2
17	 0	 2	 2
17	 1	 2	 2
17	 2	 2	 2
17	 3	 2	 2
17	 4	 2	 2
17	 5	 2	 2
17	 6	 2	 2
17	 7	 2	 2
18	 0	 7	 7
18	 1	 7	 7
18	 2	 7	 7
18	 3	 7	 7
18	 4	 7	 7
18	 5	 7	 7
18	 6	 7	 7
18	 7	 7	 7
19	 0	 5	 5
19	 1	 5	 5
19	 2	 5	 5
19	 3	 5	 5
19	 4	 5	 5
19	 5	 5	 5
19	 6	 5	 5
19	 7	 5	 5
20	 0	 5	 5
20	 1	 5	 5
20	 2	 5	 5
20	 3	 5	 5
20	 4	 5	 5
20	 5	 5	 5
20	 6	 5	 5
20	 7	 5	 5
21	 0	 5	 5
21	 1	 5	 5
21	 2	 5	 5
21	 3	 5	 5
21	 4	 5	 5
21	 5	 5	 5
21	 6	 5	 5
21	 7	 5	 5
22	 0	 7	 7
22	 1	 7	 7
22	 2	 7	 7
22	 3	 7	 7
22	 4	 7	 7
22	 5	 7	 7
22	 6	 7	 7
22	 7	 7	 7
23	 0	 0	 0
23	 1	 0	 0
23	 2	 0	 0
23	 3	 0	 0
23	 4	 0	 0
23	 5	 0	 0
23	 6	 0	 0
23	 7	 0	 0
24	 0	 6	 6
24	 1	 6	 6
24	 2	 6	 6
24	 3	 6	 6
24	 4	 6	 6
24	 5	 6	 6
24	 6	 6	 6
24	 7	 6	 6
25	 0	 0	 0
25	 1	 0	 0
25	 2	 0	 0
25	 3	 0	 0
25	 4	 0	 0
25	 5	 0	 0
25	 6	 0	 0
25	 7	 0	 0
26	 0	 4	 4
26	 1	 4	 4
26	 2	 4	 4
26	 3	 4	 4
26	 4	 4	 4
26	 5	 4	 4
26	 6	 4	 4
26	 7	 4	 4
27	 0	 5	 5
27	 1	 5	 5
27	 2	 5	 5
27	 3	 5	 5
27	 4	 5	 5
27	 5	 5	 5
27	 6	 5	 5
27	 7	 5	 5
28	 0	 5	 5
28	 1	 5	 6
28	 2	 5	 5
28	 3	 5	 5
28	 4	 5	 5
28	 5	 5	 5
28	 6	 5	 5
28	 7	 5	 5
29	 0	 1	 1
29	 1	 1	 1
29	 2	 1	 1
29	 3	 1	 1
29	 4	 1	 1
29	 5	 1	 1
29	 6	 1	 1
29	 7	 1	 1
30	 0	 6	 6
30	 1	 6	 6
30	 2	 6	 6
30	 3	 6	 6
30	 4	 6	 6
30	 5	 6	 6
30	 6	 6	 6
30	 7	 6	 6
