ch	pt	CAL_V	mean	std	median	outliers	mean_w/o_out	std_w/o_out	samples
 0	 0	   10	 181.44	 1.805	181.0	  1	 181.49	 1.728	 100
 0	 0	   20	 195.13	 1.600	195.0	  0	 195.13	 1.600	 100
 0	 0	   30	 209.15	 1.672	209.0	  0	 209.15	 1.672	 100
 0	 0	   40	 223.55	 2.007	224.0	  0	 223.55	 2.007	 100
 0	 0	   50	 237.72	 2.089	238.0	  3	 237.65	 1.820	 100
 0	 0	   60	 252.10	 2.167	252.0	  4	 252.13	 1.893	 100
 0	 0	   70	 265.88	 2.026	266.0	  2	 265.85	 1.807	 100
 0	 0	   80	 278.82	 1.971	279.0	  2	 278.92	 1.865	 100
 0	 0	   90	 292.44	 1.898	293.0	  2	 292.53	 1.806	 100
 0	 0	  100	 305.38	 1.879	306.0	  2	 305.47	 1.789	 100
 0	 0	  200	 417.57	 2.319	418.0	  7	 417.83	 1.886	 100
 0	 0	  300	 508.42	 2.262	508.5	  1	 508.34	 2.139	 100
 0	 0	  400	 582.84	 2.116	583.0	  0	 582.84	 2.116	 100
 0	 0	  500	 643.90	 2.028	644.0	  3	 643.96	 1.831	 100
 0	 0	  600	 694.19	 1.978	694.0	  2	 694.30	 1.851	 100
 0	 0	  700	 736.58	 1.771	737.0	  2	 736.68	 1.628	 100
 0	 0	  800	 773.48	 1.962	773.0	  2	 773.49	 1.846	 100
 0	 0	  900	 804.33	 2.179	804.0	  4	 804.23	 1.960	 100
 0	 0	 1000	 832.85	 1.861	833.0	  0	 832.85	 1.861	 100
 0	 0	 1200	 878.93	 2.180	879.0	  3	 878.89	 1.999	 100
 0	 0	 1400	 918.34	 2.185	918.0	  4	 918.46	 1.957	 100
 0	 0	 1600	 951.05	 2.162	951.0	  0	 951.05	 2.162	 100
 0	 0	 1800	 979.92	 2.163	980.0	  3	 979.86	 1.920	 100
 0	 0	 2000	1005.33	 1.944	1005.0	  2	1005.21	 1.783	 100
 0	 0	 4000	1168.18	 2.900	1169.0	  2	1168.36	 2.645	 100
 0	 0	 6000	1264.70	 2.997	1265.0	  2	1264.90	 2.677	 100
 0	 0	 8000	1336.78	 2.584	1337.0	  6	1337.06	 2.119	 100
 0	 0	10000	1396.84	 2.662	1397.0	  0	1396.84	 2.662	 100
 0	 0	12000	1448.06	 2.335	1448.0	  0	1448.06	 2.335	 100
 0	 0	14000	1493.49	 2.576	1494.0	 10	1493.83	 1.950	 100
 0	 0	16000	1535.43	 3.367	1535.0	  0	1535.43	 3.367	 100
 0	 0	18000	1575.49	 2.452	1576.0	  7	1575.82	 1.888	 100
 0	 0	20000	1611.82	 2.341	1612.0	  6	1611.96	 1.928	 100
 0	 0	22000	1645.95	 2.694	1646.0	  9	1646.31	 1.987	 100
 0	 0	24000	1678.26	 2.612	1678.0	  0	1678.26	 2.612	 100
 0	 0	26000	1709.52	 2.451	1709.0	  0	1709.52	 2.451	 100
 0	 0	28000	1739.15	 2.110	1739.0	  4	1739.16	 1.831	 100
 0	 0	30000	1767.34	 2.284	1767.0	  1	1767.42	 2.134	 100
 0	 0	32000	1793.70	 2.307	1794.0	  0	1793.70	 2.307	 100
 0	 0	34000	1820.71	 2.293	1821.0	  0	1820.71	 2.293	 100
 0	 0	36000	1845.36	 2.351	1846.0	  7	1845.68	 1.746	 100
 0	 0	38000	1869.38	 2.237	1870.0	  7	1869.74	 1.859	 100
 0	 0	40000	1891.67	 1.848	1892.0	  3	1891.81	 1.679	 100
 0	 0	42000	1911.41	 1.688	1911.0	  0	1911.41	 1.688	 100
 0	 0	44000	1930.46	 1.660	1930.0	  1	1930.41	 1.604	 100
 0	 0	46000	1948.56	 1.766	1949.0	  0	1948.56	 1.766	 100
 0	 0	48000	1965.40	 1.633	1965.0	  1	1965.33	 1.498	 100
 0	 0	50000	1979.93	 1.423	1980.0	  0	1979.93	 1.423	 100
 0	 0	52000	1993.26	 1.397	1993.5	 15	1993.55	 0.880	 100
 0	 0	54000	2004.91	 1.006	2005.0	 49	2005.00	 0.000	 100
 0	 0	56000	2013.39	 0.909	2013.0	  0	2013.39	 0.909	 100
 0	 0	58000	2020.47	 0.658	2021.0	  0	2020.47	 0.658	 100
 0	 0	60000	2025.49	 0.674	2026.0	 48	2026.00	 0.000	 100
 0	 0	62000	2029.01	 0.389	2029.0	 15	2029.00	 0.000	 100
 0	 0	64000	2031.12	 0.456	2031.0	 10	2031.00	 0.000	 100
 0	 1	   10	 199.82	 7.305	197.0	  5	 198.93	 6.323	 100
 0	 1	   20	 192.52	 1.396	193.0	  0	 192.52	 1.396	 100
 0	 1	   30	 204.05	 1.755	204.0	  2	 203.95	 1.621	 100
 0	 1	   40	 216.03	 1.726	216.0	  1	 215.98	 1.660	 100
 0	 1	   50	 228.50	 1.778	229.0	  1	 228.55	 1.728	 100
 0	 1	   60	 241.07	 1.486	241.0	  0	 241.07	 1.486	 100
 0	 1	   70	 253.39	 1.711	253.0	  0	 253.39	 1.711	 100
 0	 1	   80	 264.92	 1.555	265.0	  1	 264.97	 1.481	 100
 0	 1	   90	 276.58	 1.478	277.0	  0	 276.58	 1.478	 100
