# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 001 
# Bias = 0101 
# CSArefs = 0011 
# Shaper = 101 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 00000000000000000000000000000000 
# Calibration mask = 11111111111111111111111111111111 
# Threshold = 128 
# FineTHR[0] = 011 
# FineTHR[1] = 011 
# FineTHR[2] = 011 
# FineTHR[3] = 011 
# FineTHR[4] = 011 
# FineTHR[5] = 011 
# FineTHR[6] = 011 
# FineTHR[7] = 011 
# FineTHR[8] = 011 
# FineTHR[9] = 011 
# FineTHR[10] = 011 
# FineTHR[11] = 011 
# FineTHR[12] = 011 
# FineTHR[13] = 011 
# FineTHR[14] = 011 
# FineTHR[15] = 011 
# FineTHR[16] = 011 
# FineTHR[17] = 011 
# FineTHR[18] = 011 
# FineTHR[19] = 011 
# FineTHR[20] = 011 
# FineTHR[21] = 011 
# FineTHR[22] = 011 
# FineTHR[23] = 011 
# FineTHR[24] = 011 
# FineTHR[25] = 011 
# FineTHR[26] = 011 
# FineTHR[27] = 011 
# FineTHR[28] = 011 
# FineTHR[29] = 011 
# FineTHR[30] = 011 
# FineTHR[31] = 011 
# ------------------------------------------------------------------------------
# Event data block #1
# Delay	DAC	Type	CH#	Value
61	10	00	0	206
61	10	00	1	201
61	10	00	2	190
61	10	00	3	208
61	10	00	4	180
61	10	00	5	169
61	10	00	6	186
61	10	00	7	179
61	10	00	8	194
61	10	00	9	193
61	10	00	10	153
61	10	00	11	195
61	10	00	12	187
61	10	00	13	217
61	10	00	14	177
61	10	00	15	193
61	10	00	16	178
61	10	00	17	178
61	10	00	18	194
61	10	00	19	204
61	10	00	20	171
61	10	00	21	201
61	10	00	22	193
61	10	00	23	164
61	10	00	24	206
61	10	00	25	166
61	10	00	26	218
61	10	00	27	213
61	10	00	28	160
61	10	00	29	177
61	10	00	30	208
61	10	10	31	219
61	10	00	0	204
61	10	00	1	202
61	10	00	2	193
61	10	00	3	208
61	10	00	4	178
61	10	00	5	173
61	10	00	6	186
61	10	00	7	183
61	10	00	8	195
61	10	00	9	195
61	10	00	10	155
61	10	00	11	197
61	10	00	12	188
61	10	00	13	218
61	10	00	14	177
61	10	00	15	194
61	10	00	16	174
61	10	00	17	178
61	10	00	18	190
61	10	00	19	203
61	10	00	20	170
61	10	00	21	202
61	10	00	22	191
61	10	00	23	164
61	10	00	24	209
61	10	00	25	170
61	10	00	26	216
61	10	00	27	213
61	10	00	28	157
61	10	00	29	173
61	10	00	30	207
61	10	10	31	216
