INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	2.630	2.398	2.359	2.159
 0	 1	2.916	2.628	2.740	2.472
 0	 2	3.082	2.855	2.973	2.767
 0	 3	3.266	2.990	3.134	2.861
 0	 4	3.327	3.083	3.230	3.002
 0	 5	3.340	3.015	3.346	3.045
 0	 6	3.568	3.384	3.537	3.346
 0	 7	3.321	3.117	3.410	3.189
 1	 0	3.060	2.634	2.637	2.268
 1	 1	3.245	2.907	2.888	2.569
 1	 2	3.301	2.873	2.996	2.600
 1	 3	3.535	3.142	3.106	2.780
 1	 4	3.674	3.044	3.296	2.754
 1	 5	3.770	3.316	3.341	2.942
 1	 6	3.567	3.181	3.227	2.879
 1	 7	3.434	3.140	3.198	2.941
 2	 0	3.636	2.828	2.979	2.318
 2	 1	3.910	3.072	3.394	2.668
 2	 2	4.166	3.078	3.678	2.717
 2	 3	4.243	3.180	3.862	2.913
 2	 4	4.396	3.208	4.039	2.926
 2	 5	4.162	3.246	3.929	3.080
 2	 6	4.358	3.329	4.126	3.159
 2	 7	4.288	3.374	4.085	3.236
 3	 0	3.641	3.460	3.004	2.854
 3	 1	4.340	4.113	3.795	3.562
 3	 2	4.762	4.274	4.250	3.800
 3	 3	4.858	4.595	4.302	4.090
 3	 4	5.200	4.858	4.647	4.302
 3	 5	5.167	5.007	4.850	4.691
 3	 6	5.275	4.827	4.917	4.506
 3	 7	5.078	4.789	4.839	4.590
 4	 0	4.827	4.107	3.937	3.338
 4	 1	5.709	4.734	4.978	4.080
 4	 2	6.315	5.244	5.610	4.585
 4	 3	6.559	5.178	5.906	4.716
 4	 4	6.940	5.676	6.280	5.148
 4	 5	6.608	5.552	6.303	5.269
 4	 6	6.972	5.520	6.602	5.202
 4	 7	6.569	5.331	6.476	5.314
 5	 0	5.111	4.289	4.163	3.445
