ch	pt	tc	mean	std	median	outliers	mean_w/o_out	std_w/o_out	samples
 0	 0	  0	 128.58	 1.832	129.0	  1	 128.63	 1.782	 100
 0	 0	  1	 140.04	 1.853	140.0	  2	 139.93	 1.694	 100
 0	 0	  2	 191.17	 2.753	191.0	  0	 191.17	 2.753	 100
 0	 0	  3	 289.21	 2.599	289.0	  8	 289.34	 2.134	 100
 0	 0	  4	 389.03	 2.333	389.0	  3	 388.96	 2.076	 100
 0	 0	  5	 478.12	 2.367	478.0	  1	 478.21	 2.191	 100
 0	 0	  6	 553.16	 2.264	553.0	  4	 553.06	 1.956	 100
 0	 0	  7	 615.74	 2.077	616.0	  3	 615.80	 1.863	 100
 0	 0	  8	 666.41	 2.031	666.0	  2	 666.42	 1.921	 100
 0	 0	  9	 707.80	 2.103	708.0	  5	 707.86	 1.766	 100
 0	 0	 10	 740.10	 2.057	740.0	  2	 739.99	 1.924	 100
 0	 0	 11	 764.70	 2.259	765.0	  2	 764.82	 2.127	 100
 0	 0	 12	 780.78	 1.988	781.0	  2	 780.79	 1.846	 100
 0	 0	 13	 791.22	 2.316	791.0	  0	 791.22	 2.316	 100
 0	 0	 14	 795.10	 2.209	795.0	  5	 795.03	 1.888	 100
 0	 0	 15	 793.90	 2.091	794.0	  3	 793.82	 1.860	 100
 0	 0	 16	 788.47	 2.186	789.0	  4	 788.69	 1.938	 100
 0	 0	 17	 778.97	 1.967	779.0	  2	 778.96	 1.822	 100
 0	 0	 18	 765.54	 2.027	765.0	  3	 765.38	 1.840	 100
 0	 0	 19	 750.43	 2.026	750.0	  3	 750.36	 1.697	 100
 0	 0	 20	 734.76	 2.189	735.0	  0	 734.76	 2.189	 100
 0	 0	 21	 715.77	 1.969	715.5	  0	 715.77	 1.969	 100
 0	 0	 22	 695.79	 2.001	696.0	  3	 695.72	 1.790	 100
 0	 0	 23	 675.17	 2.075	675.0	  5	 675.24	 1.749	 100
 0	 0	 24	 652.97	 2.240	653.0	  5	 653.12	 1.956	 100
 0	 0	 25	 630.89	 2.160	631.0	  0	 630.89	 2.160	 100
 0	 0	 26	 607.91	 1.854	608.0	  2	 607.93	 1.658	 100
 0	 0	 27	 585.90	 1.967	586.0	  2	 586.00	 1.856	 100
 0	 0	 28	 562.44	 1.684	562.0	  0	 562.44	 1.684	 100
 0	 0	 29	 539.90	 1.946	540.0	  0	 539.90	 1.946	 100
 0	 0	 30	 518.68	 1.797	518.0	  0	 518.68	 1.797	 100
 0	 0	 31	 495.59	 1.965	496.0	  4	 495.79	 1.729	 100
 0	 0	 32	 474.65	 1.731	475.0	  3	 474.69	 1.530	 100
 0	 0	 33	 455.29	 1.499	455.0	  0	 455.29	 1.499	 100
 0	 0	 34	 434.84	 1.668	434.0	  3	 434.71	 1.520	 100
 0	 0	 35	 416.24	 1.646	416.0	  2	 416.23	 1.463	 100
 0	 0	 36	 398.59	 1.787	398.0	  2	 398.50	 1.688	 100
 0	 0	 37	 381.76	 1.843	382.0	  0	 381.76	 1.843	 100
 0	 0	 38	 365.48	 1.667	365.0	  1	 365.43	 1.611	 100
 0	 0	 39	 350.32	 1.576	350.0	  0	 350.32	 1.576	 100
 0	 0	 40	 336.52	 1.410	336.0	  1	 336.47	 1.343	 100
 0	 0	 41	 323.18	 1.266	323.0	  0	 323.18	 1.266	 100
 0	 0	 42	 310.16	 1.461	310.0	  0	 310.16	 1.461	 100
 0	 0	 43	 298.27	 1.325	298.0	  0	 298.27	 1.325	 100
 0	 0	 44	 287.64	 1.592	288.0	  1	 287.59	 1.505	 100
 0	 0	 45	 276.99	 1.168	277.0	  0	 276.99	 1.168	 100
 0	 0	 46	 267.62	 1.262	268.0	  0	 267.62	 1.262	 100
 0	 0	 47	 258.99	 1.541	259.0	  0	 258.99	 1.541	 100
 0	 0	 48	 249.88	 1.281	250.0	  1	 249.93	 1.189	 100
 0	 0	 49	 241.78	 1.353	242.0	  0	 241.78	 1.353	 100
 0	 0	 50	 233.91	 1.240	234.0	  0	 233.91	 1.240	 100
 0	 0	 51	 226.91	 1.198	227.0	  0	 226.91	 1.198	 100
 0	 0	 52	 220.48	 1.425	221.0	  0	 220.48	 1.425	 100
 0	 0	 53	 214.39	 1.163	214.0	  0	 214.39	 1.163	 100
 0	 0	 54	 208.98	 1.197	209.0	  0	 208.98	 1.197	 100
 0	 0	 55	 204.05	 1.132	204.0	  0	 204.05	 1.132	 100
 0	 0	 56	 199.24	 1.304	199.0	  0	 199.24	 1.304	 100
 0	 0	 57	 194.90	 1.150	195.0	  0	 194.90	 1.150	 100
 0	 0	 58	 190.39	 1.325	190.0	  0	 190.39	 1.325	 100
 0	 0	 59	 186.49	 1.202	186.0	  0	 186.49	 1.202	 100
 0	 0	 60	 182.75	 1.431	183.0	  0	 182.75	 1.431	 100
 0	 0	 61	 179.30	 1.330	179.0	  1	 179.35	 1.223	 100
 0	 0	 62	 176.05	 1.226	176.0	  0	 176.05	 1.226	 100
 0	 0	 63	 173.20	 1.239	173.0	  0	 173.20	 1.239	 100
 0	 0	 64	 170.31	 0.982	170.0	  0	 170.31	 0.982	 100
 0	 0	 65	 167.70	 1.049	168.0	  0	 167.70	 1.049	 100
 0	 0	 66	 165.42	 0.997	165.0	  0	 165.42	 0.997	 100
 0	 0	 67	 163.35	 1.158	163.5	  8	 163.45	 0.965	 100
 0	 0	 68	 161.05	 0.903	161.0	  0	 161.05	 0.903	 100
 0	 0	 69	 159.43	 1.297	160.0	 38	 160.00	 0.000	 100
 0	 0	 70	 157.41	 1.264	157.0	  0	 157.41	 1.264	 100
 0	 0	 71	 155.63	 1.160	156.0	  0	 155.63	 1.160	 100
 0	 0	 72	 154.00	 1.092	154.0	  0	 154.00	 1.092	 100
 0	 0	 73	 153.02	 0.887	153.0	  2	 153.08	 0.782	 100
 0	 0	 74	 151.29	 1.113	151.0	  0	 151.29	 1.113	 100
 0	 0	 75	 150.01	 1.087	150.0	  0	 150.01	 1.087	 100
 0	 0	 76	 149.00	 0.964	149.0	  0	 149.00	 0.964	 100
 0	 0	 77	 148.15	 1.077	148.0	  0	 148.15	 1.077	 100
 0	 0	 78	 147.00	 1.110	147.0	  0	 147.00	 1.110	 100
 0	 0	 79	 146.13	 0.971	146.0	  0	 146.13	 0.971	 100
 0	 0	 80	 145.29	 0.924	145.0	  0	 145.29	 0.924	 100
 0	 0	 81	 144.31	 0.992	144.0	  0	 144.31	 0.992	 100
 0	 0	 82	 143.62	 1.213	144.0	  0	 143.62	 1.213	 100
 0	 0	 83	 143.21	 1.140	144.0	  0	 143.21	 1.140	 100
 0	 0	 84	 142.29	 1.057	142.0	  0	 142.29	 1.057	 100
 0	 0	 85	 141.40	 1.054	141.0	  0	 141.40	 1.054	 100
 0	 0	 86	 140.72	 1.055	141.0	  0	 140.72	 1.055	 100
 0	 0	 87	 140.27	 1.062	141.0	  0	 140.27	 1.062	 100
 0	 0	 88	 139.86	 1.064	140.0	  0	 139.86	 1.064	 100
 0	 0	 89	 139.22	 1.142	139.0	  0	 139.22	 1.142	 100
 0	 0	 90	 138.93	 1.018	139.0	  0	 138.93	 1.018	 100
 0	 0	 91	 138.61	 0.994	138.5	  6	 138.46	 0.812	 100
 0	 0	 92	 138.15	 0.914	138.0	 45	 138.00	 0.000	 100
 0	 0	 93	 138.02	 0.932	138.0	 46	 138.00	 0.000	 100
 0	 0	 94	 137.52	 0.904	138.0	  0	 137.52	 0.904	 100
 0	 0	 95	 137.20	 0.932	137.0	  0	 137.20	 0.932	 100
 0	 0	 96	 137.13	 1.079	137.0	  0	 137.13	 1.079	 100
 0	 0	 97	 136.75	 0.869	137.0	  0	 136.75	 0.869	 100
 0	 0	 98	 136.58	 0.945	137.0	  0	 136.58	 0.945	 100
 0	 0	 99	 136.27	 1.024	136.0	  0	 136.27	 1.024	 100
 0	 0	100	 136.02	 1.239	136.0	  0	 136.02	 1.239	 100
 0	 0	101	 135.99	 1.087	136.0	  0	 135.99	 1.087	 100
 0	 0	102	 135.71	 1.018	136.0	  0	 135.71	 1.018	 100
