ch	pt	m	q
 0	 0	1.0109	-10.4746
 0	 1	1.2637	-46.8748
 0	 2	1.4403	-72.6252
 0	 3	1.5996	-95.5342
 0	 4	1.6276	-99.4548
 0	 5	1.7105	-111.3858
 0	 6	1.6762	-106.6305
 0	 7	1.5317	-85.7079
 1	 0	0.9098	27.2976
 1	 1	1.1340	0.8265
 1	 2	1.2867	-17.2324
 1	 3	1.4010	-30.8693
 1	 4	1.4269	-33.9357
 1	 5	1.4607	-37.7456
 1	 6	1.4890	-41.0936
 1	 7	1.3846	-28.8261
 2	 0	0.8307	16.9715
 2	 1	1.0123	-8.6197
 2	 2	1.1494	-28.1919
 2	 3	1.2623	-44.1744
 2	 4	1.2882	-47.5449
 2	 5	1.3412	-55.1394
 2	 6	1.2639	-44.1965
 2	 7	1.2579	-43.1458
 3	 0	0.8048	45.1983
 3	 1	0.9371	30.3941
 3	 2	1.0582	16.6973
 3	 3	1.0977	12.4990
 3	 4	1.1223	9.5899
 3	 5	1.1330	8.5460
 3	 6	1.1351	8.1693
 3	 7	1.0716	15.2926
 4	 0	0.6876	49.3171
 4	 1	0.7768	38.3171
 4	 2	0.8444	30.0456
 4	 3	0.8502	29.0926
 4	 4	0.8564	28.3992
 4	 5	0.8731	26.3542
 4	 6	0.8597	28.0461
 4	 7	0.8553	28.5878
 5	 0	0.6779	44.0355
 5	 1	0.7384	35.9669
 5	 2	0.7608	32.8830
 5	 3	0.7736	31.2609
 5	 4	0.7869	29.4315
 5	 5	0.7798	30.3820
 5	 6	0.7822	30.2440
 5	 7	0.7800	30.5695
 6	 0	0.5818	51.1041
 6	 1	0.6264	44.7220
 6	 2	0.6419	42.5455
 6	 3	0.6464	41.8975
 6	 4	0.6568	40.4415
 6	 5	0.6611	39.8286
 6	 6	0.6695	38.6602
 6	 7	0.6473	41.8436
 7	 0	0.4865	67.7875
 7	 1	0.5080	64.7973
 7	 2	0.5311	61.6041
 7	 3	0.5249	62.4569
 7	 4	0.5271	62.2577
 7	 5	0.5320	61.5635
 7	 6	0.5271	62.2100
 7	 7	0.5194	63.2834
 8	 0	0.4228	75.9825
 8	 1	0.4305	74.9113
 8	 2	0.4363	74.1353
 8	 3	0.4366	74.0601
 8	 4	0.4472	72.6579
 8	 5	0.4526	71.8459
 8	 6	0.4485	72.4265
 8	 7	0.4430	73.2301
 9	 0	0.5320	57.7972
 9	 1	0.5462	55.7685
 9	 2	0.5723	51.8889
 9	 3	0.5783	51.1003
 9	 4	0.5830	50.2819
 9	 5	0.5909	49.1520
 9	 6	0.5886	49.4911
 9	 7	0.5805	50.7320
10	 0	0.5898	64.6347
10	 1	0.6340	59.3288
10	 2	0.6453	58.0604
10	 3	0.6519	57.2985
10	 4	0.6640	55.6702
10	 5	0.6667	55.3732
10	 6	0.6629	55.8561
10	 7	0.6545	56.8589
11	 0	0.6390	45.6175
11	 1	0.6901	38.3063
11	 2	0.6999	37.0344
11	 3	0.7090	35.7551
11	 4	0.7329	32.2749
11	 5	0.7389	31.3699
11	 6	0.7376	31.5939
11	 7	0.7020	36.5194
12	 0	0.7849	52.1287
12	 1	0.8242	47.9992
12	 2	0.8619	43.9532
12	 3	0.8767	42.5058
12	 4	0.8670	43.4092
12	 5	0.8598	44.2182
12	 6	0.8448	45.7051
12	 7	0.8225	48.0892
13	 0	0.7735	38.9683
13	 1	0.8494	29.6533
13	 2	0.8528	29.2028
13	 3	0.9046	22.8375
13	 4	0.8924	24.1053
13	 5	0.8918	24.2458
13	 6	0.8521	29.2574
13	 7	0.8103	34.2685
14	 0	0.7907	10.9985
14	 1	0.9387	-12.1566
14	 2	0.9729	-17.6098
14	 3	1.0063	-22.7642
14	 4	1.0050	-22.9666
14	 5	1.0019	-22.4618
