Peaking Times - based on Mean values without Outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
0.2917	0.2917	0.2917	0.2917	0.2708	0.2917	0.2917	0.2917	0.2708	0.2917	0.2708	0.2917	0.2917	0.2917	0.2917	0.2708	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2891	0.0070	0.2917	  4	0.2917	0.0000
0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4375	0.4375	0.4375	0.4375	0.4375	0.4583	0.4583	0.4583	0.4375	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4375	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4538	0.0088	0.4583	  7	0.4583	0.0000
0.6250	0.6250	0.6042	0.6250	0.6458	0.6250	0.6458	0.6250	0.6458	0.6250	0.6250	0.6250	0.6458	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6458	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6276	0.0088	0.6250	  6	0.6250	0.0000
0.7917	0.7917	0.7917	0.8125	0.7917	0.7917	0.7917	0.7917	0.7917	0.8125	0.8125	0.7917	0.7917	0.7917	0.7917	0.7917	0.7917	0.8333	0.7917	0.7917	0.7917	0.8125	0.8125	0.7917	0.7917	0.8125	0.8125	0.7917	0.7917	0.7917	0.7917	0.8125	0.7982	0.0111	0.7917	  9	0.7917	0.0000
0.9583	0.9583	0.9583	0.9792	0.9792	0.9792	0.9583	0.9792	0.9375	0.9583	0.9583	0.9583	0.9792	0.9792	0.9792	0.9792	0.9583	0.9792	0.9583	0.9792	0.9583	0.9583	0.9583	0.9792	0.9375	0.9792	0.9583	0.9792	0.9792	0.9792	0.9583	0.9792	0.9674	0.0129	0.9688	  0	0.9674	0.0129
1.2083	1.2083	1.2292	1.2500	1.2083	1.2083	1.2083	1.2083	1.2500	1.2083	1.2083	1.2083	1.2292	1.2083	1.2500	1.2083	1.2083	1.2292	1.2292	1.2292	1.2500	1.2083	1.2083	1.2083	1.2292	1.2083	1.2292	1.2292	1.2292	1.2292	1.2292	1.2500	1.2220	0.0155	1.2188	  0	1.2220	0.0155
1.4792	1.4792	1.4792	1.4792	1.5000	1.5208	1.5208	1.4792	1.5208	1.5208	1.4167	1.5208	1.5208	1.4792	1.5208	1.4792	1.5208	1.5208	1.5000	1.5208	1.5208	1.4792	1.5208	1.5208	1.5208	1.5208	1.5208	1.5208	1.4792	1.5208	1.4792	1.4792	1.5020	0.0250	1.5208	 14	1.5208	0.0000
1.7292	1.7500	1.7292	1.7292	1.7292	1.7500	1.7292	1.7292	1.7708	1.7917	1.7500	1.7500	1.7708	1.7292	1.7917	1.7500	1.7292	1.7500	1.7917	1.7708	1.7917	1.7500	1.7708	1.7708	1.7500	1.7917	1.7917	1.7500	1.7500	1.7500	1.7292	1.7500	1.7552	0.0225	1.7500	  0	1.7552	0.0225
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Peaking Times - based on Mean values with outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
0.2708	0.2917	0.2917	0.2917	0.2708	0.2708	0.2917	0.2917	0.2708	0.2917	0.2708	0.2917	0.2917	0.2917	0.2917	0.2708	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2878	0.0083	0.2917	  6	0.2917	0.0000
