ch	pt	fine_thr	a_fit	b_fit
 0	 0	 0	225.369	0.503
 0	 0	 1	224.275	0.558
 0	 0	 2	223.213	0.532
 0	 0	 3	222.086	0.604
 0	 0	 4	221.206	0.582
 0	 0	 5	220.076	0.565
 0	 0	 6	219.088	0.567
 0	 0	 7	218.004	0.522
 0	 1	 0	225.363	0.390
 0	 1	 1	224.275	0.427
 0	 1	 2	223.182	0.480
 0	 1	 3	222.139	0.465
 0	 1	 4	221.195	0.466
 0	 1	 5	220.038	0.497
 0	 1	 6	218.985	0.470
 0	 1	 7	217.941	0.466
 0	 2	 0	225.342	0.419
 0	 2	 1	224.247	0.470
 0	 2	 2	223.259	0.461
 0	 2	 3	222.105	0.496
 0	 2	 4	221.188	0.483
 0	 2	 5	220.013	0.489
 0	 2	 6	218.933	0.432
 0	 2	 7	217.899	0.380
 0	 3	 0	225.455	0.475
 0	 3	 1	224.298	0.536
 0	 3	 2	223.206	0.587
 0	 3	 3	222.122	0.532
 0	 3	 4	221.234	0.579
 0	 3	 5	219.990	0.545
 0	 3	 6	218.966	0.489
 0	 3	 7	217.893	0.452
 0	 4	 0	225.580	0.595
 0	 4	 1	224.329	0.680
 0	 4	 2	223.340	0.738
 0	 4	 3	222.064	0.692
 0	 4	 4	221.214	0.682
 0	 4	 5	219.942	0.567
 0	 4	 6	218.934	0.545
 0	 4	 7	217.858	0.403
 0	 5	 0	225.675	0.601
 0	 5	 1	224.370	0.801
 0	 5	 2	223.285	0.767
 0	 5	 3	222.097	0.765
 0	 5	 4	221.309	0.805
 0	 5	 5	219.970	0.700
 0	 5	 6	218.955	0.663
 0	 5	 7	217.838	0.455
 0	 6	 0	225.518	0.484
 0	 6	 1	224.218	0.638
 0	 6	 2	223.268	0.588
 0	 6	 3	222.075	0.620
 0	 6	 4	221.172	0.639
 0	 6	 5	219.889	0.489
 0	 6	 6	218.843	0.459
 0	 6	 7	217.840	0.390
 0	 7	 0	225.445	0.433
 0	 7	 1	224.204	0.537
 0	 7	 2	223.249	0.562
 0	 7	 3	221.973	0.557
 0	 7	 4	221.169	0.565
 0	 7	 5	219.934	0.533
 0	 7	 6	218.952	0.525
 0	 7	 7	217.823	0.386
 1	 0	 0	214.816	0.339
 1	 0	 1	213.803	0.280
 1	 0	 2	212.791	0.334
 1	 0	 3	211.683	0.437
 1	 0	 4	210.717	0.437
 1	 0	 5	209.597	0.429
 1	 0	 6	208.633	0.385
 1	 0	 7	207.487	0.411
 1	 1	 0	214.875	0.284
 1	 1	 1	213.794	0.276
 1	 1	 2	212.761	0.425
 1	 1	 3	211.613	0.424
 1	 1	 4	210.709	0.425
 1	 1	 5	209.600	0.411
 1	 1	 6	208.563	0.414
 1	 1	 7	207.455	0.403
 1	 2	 0	214.859	0.313
 1	 2	 1	213.783	0.272
 1	 2	 2	212.807	0.453
 1	 2	 3	211.656	0.384
 1	 2	 4	210.706	0.387
 1	 2	 5	209.567	0.398
 1	 2	 6	208.616	0.386
 1	 2	 7	207.505	0.412
 1	 3	 0	214.882	0.286
 1	 3	 1	213.744	0.271
 1	 3	 2	212.787	0.457
 1	 3	 3	211.654	0.450
 1	 3	 4	210.669	0.440
 1	 3	 5	209.562	0.396
 1	 3	 6	208.601	0.389
 1	 3	 7	207.439	0.401
 1	 4	 0	214.901	0.256
 1	 4	 1	213.780	0.284
 1	 4	 2	212.797	0.457
 1	 4	 3	211.639	0.427
 1	 4	 4	210.562	0.396
 1	 4	 5	209.598	0.409
 1	 4	 6	208.523	0.423
 1	 4	 7	207.499	0.425
 1	 5	 0	214.894	0.290
 1	 5	 1	213.666	0.282
 1	 5	 2	212.745	0.437
 1	 5	 3	211.604	0.434
 1	 5	 4	210.670	0.453
 1	 5	 5	209.625	0.415
 1	 5	 6	208.596	0.410
 1	 5	 7	207.454	0.420
 1	 6	 0	214.878	0.250
 1	 6	 1	213.763	0.266
 1	 6	 2	212.768	0.445
 1	 6	 3	211.719	0.448
 1	 6	 4	210.742	0.425
 1	 6	 5	209.552	0.415
 1	 6	 6	208.586	0.409
 1	 6	 7	207.491	0.443
 1	 7	 0	214.852	0.311
 1	 7	 1	213.724	0.288
 1	 7	 2	212.779	0.416
 1	 7	 3	211.694	0.402
 1	 7	 4	210.701	0.406
 1	 7	 5	209.529	0.398
 1	 7	 6	208.550	0.405
 1	 7	 7	207.545	0.404
 2	 0	 0	225.878	0.443
 2	 0	 1	224.718	0.444
 2	 0	 2	223.759	0.422
 2	 0	 3	222.599	0.516
 2	 0	 4	221.676	0.542
 2	 0	 5	220.599	0.495
 2	 0	 6	219.579	0.462
 2	 0	 7	218.482	0.476
 2	 1	 0	225.846	0.374
 2	 1	 1	224.663	0.394
 2	 1	 2	223.707	0.491
 2	 1	 3	222.589	0.431
 2	 1	 4	221.665	0.464
 2	 1	 5	220.559	0.433
 2	 1	 6	219.548	0.417
 2	 1	 7	218.413	0.432
 2	 2	 0	225.869	0.346
 2	 2	 1	224.733	0.357
 2	 2	 2	223.756	0.463
 2	 2	 3	222.586	0.425
 2	 2	 4	221.640	0.458
 2	 2	 5	220.512	0.432
 2	 2	 6	219.511	0.418
 2	 2	 7	218.435	0.429
 2	 3	 0	225.879	0.320
 2	 3	 1	224.717	0.353
 2	 3	 2	223.707	0.441
 2	 3	 3	222.565	0.439
 2	 3	 4	221.684	0.456
 2	 3	 5	220.543	0.407
 2	 3	 6	219.529	0.396
 2	 3	 7	218.475	0.399
 2	 4	 0	225.866	0.315
 2	 4	 1	224.727	0.327
 2	 4	 2	223.701	0.466
 2	 4	 3	222.558	0.411
 2	 4	 4	221.689	0.467
 2	 4	 5	220.454	0.400
 2	 4	 6	219.470	0.403
 2	 4	 7	218.453	0.443
 2	 5	 0	225.791	0.315
 2	 5	 1	224.625	0.322
 2	 5	 2	223.695	0.457
 2	 5	 3	222.535	0.442
 2	 5	 4	221.669	0.410
 2	 5	 5	220.496	0.404
 2	 5	 6	219.522	0.388
 2	 5	 7	218.468	0.415
 2	 6	 0	225.829	0.330
 2	 6	 1	224.736	0.330
 2	 6	 2	223.775	0.441
 2	 6	 3	222.623	0.440
 2	 6	 4	221.747	0.461
 2	 6	 5	220.539	0.447
 2	 6	 6	219.563	0.444
 2	 6	 7	218.526	0.469
 2	 7	 0	225.854	0.322
 2	 7	 1	224.780	0.340
 2	 7	 2	223.791	0.469
 2	 7	 3	222.600	0.448
 2	 7	 4	221.783	0.470
 2	 7	 5	220.645	0.442
 2	 7	 6	219.612	0.450
 2	 7	 7	218.533	0.427
 3	 0	 0	224.181	0.462
 3	 0	 1	223.047	0.417
 3	 0	 2	222.069	0.472
