INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	16.497	5.938	13.228	4.723
 0	 1	18.751	8.992	17.217	7.923
 0	 2	21.566	9.167	19.436	8.444
 0	 3	31.678	16.883	27.109	14.842
 0	 4	33.740	13.254	29.441	12.131
 0	 5	32.633	10.418	26.344	9.977
 0	 6	20.652	9.669	21.853	9.028
 0	 7	23.724	10.154	22.122	10.161
 1	 0	17.314	5.596	13.961	4.520
 1	 1	19.432	8.301	17.552	7.432
 1	 2	22.783	8.384	20.075	7.547
 1	 3	33.915	16.432	28.374	14.626
 1	 4	35.621	12.918	30.524	11.438
 1	 5	33.917	9.618	26.716	9.145
 1	 6	21.208	9.442	22.118	8.887
 1	 7	25.369	10.047	23.019	9.631
 2	 0	22.733	8.019	18.140	6.487
 2	 1	26.911	11.914	23.823	10.188
 2	 2	31.056	12.039	26.630	10.535
 2	 3	47.530	22.002	37.726	18.335
 2	 4	49.761	18.479	40.024	15.338
 2	 5	49.251	14.768	35.330	12.329
 2	 6	27.455	13.107	29.092	11.611
 2	 7	34.850	14.485	30.248	12.866
 3	 0	32.895	10.823	26.375	8.943
 3	 1	39.521	15.682	35.316	13.533
 3	 2	44.444	16.498	37.598	14.592
 3	 3	75.983	31.299	55.640	26.933
 3	 4	71.778	23.964	56.764	21.076
 3	 5	77.467	18.384	52.319	16.787
 3	 6	36.998	18.766	41.033	16.967
 3	 7	50.035	20.350	43.658	19.313
 4	 0	39.877	15.145	33.070	12.520
 4	 1	51.551	23.895	46.648	19.760
 4	 2	61.848	23.541	49.734	19.674
 4	 3	100.572	50.436	72.125	37.741
 4	 4	93.000	44.495	71.699	34.171
 4	 5	124.785	33.568	70.469	27.549
 4	 6	43.817	24.463	51.832	22.038
 4	 7	69.022	29.900	59.802	28.089
 5	 0	53.925	17.460	43.373	14.939
 5	 1	67.404	27.135	61.540	23.656
 5	 2	78.441	31.286	64.258	25.417
 5	 3	155.586	59.325	98.839	47.228
 5	 4	136.457	47.735	96.530	38.182
 5	 5	  NaN	39.306	96.769	32.189
 5	 6	55.571	30.261	66.858	27.255
 5	 7	92.348	34.173	78.797	32.410
 6	 0	58.955	22.633	49.237	18.241
 6	 1	79.328	37.165	74.440	31.236
 6	 2	99.237	39.820	78.505	32.536
 6	 3	192.945	97.737	132.635	63.715
 6	 4	164.449	78.173	122.369	54.430
 6	 5	  NaN	57.629	128.303	46.427
 6	 6	62.749	38.782	82.892	36.791
 6	 7	119.358	43.104	106.318	45.234
 7	 0	75.158	29.904	62.435	24.321
 7	 1	104.524	48.837	99.705	42.690
 7	 2	120.523	56.517	94.978	43.364
 7	 3	  NaN	149.818	189.169	101.335
 7	 4	208.983	104.681	163.202	75.267
 7	 5	  NaN	  NaN	170.699	50.832
 7	 6	73.184	31.480	100.276	39.955
 7	 7	159.059	66.568	141.808	62.860
 8	 0	74.668	29.643	62.256	24.674
 8	 1	102.598	51.492	95.498	41.089
 8	 2	121.297	52.708	87.143	37.039
 8	 3	  NaN	129.337	172.681	74.484
 8	 4	206.869	  NaN	162.909	84.818
 8	 5	  NaN	  NaN	163.597	60.840
 8	 6	68.491	36.540	97.114	52.576
 8	 7	146.931	83.392	139.365	64.255
 9	 0	62.093	22.282	50.741	18.705
 9	 1	80.897	37.679	75.806	31.292
 9	 2	98.117	40.460	78.363	34.163
 9	 3	214.005	89.599	128.667	62.397
 9	 4	173.745	65.986	124.135	52.658
 9	 5	  NaN	53.442	130.124	44.979
 9	 6	64.645	38.081	83.092	39.717
 9	 7	120.207	44.438	102.935	45.767
10	 0	52.789	16.769	42.731	14.108
10	 1	65.356	27.708	61.595	24.035
10	 2	77.979	31.068	64.709	26.238
10	 3	158.314	63.332	100.190	49.641
10	 4	134.607	48.425	98.888	40.199
10	 5	  NaN	37.276	99.293	33.388
10	 6	56.000	30.860	68.501	29.508
10	 7	93.510	38.000	79.545	35.099
11	 0	46.616	15.389	37.546	12.638
11	 1	59.466	27.562	53.107	22.422
11	 2	67.935	29.240	56.744	24.154
11	 3	125.828	54.777	85.609	42.734
11	 4	114.669	48.539	84.563	38.205
11	 5	  NaN	35.123	83.948	29.882
11	 6	49.579	26.364	58.815	26.495
11	 7	79.689	31.515	69.035	30.457
12	 0	43.388	13.962	35.130	11.946
12	 1	53.843	22.173	48.691	19.131
12	 2	60.041	21.532	49.842	18.854
12	 3	115.537	46.232	74.108	33.931
12	 4	98.056	36.552	75.831	32.048
12	 5	117.727	26.839	69.124	23.043
12	 6	44.824	23.163	52.409	23.994
12	 7	69.160	29.590	57.946	26.529
13	 0	32.570	10.960	26.328	9.097
13	 1	39.912	16.176	35.464	13.363
13	 2	45.082	16.128	38.234	13.664
13	 3	76.450	35.592	54.910	26.986
13	 4	73.062	26.388	57.787	22.210
13	 5	75.987	20.993	51.690	17.914
13	 6	35.710	15.401	40.407	15.454
13	 7	49.999	20.547	43.003	18.915
14	 0	24.161	8.334	19.708	6.875
14	 1	30.034	12.301	26.182	10.410
14	 2	33.791	14.373	28.860	12.471
14	 3	52.827	25.288	40.200	20.040
14	 4	51.504	22.254	42.317	18.317
14	 5	48.059	17.069	36.297	15.115
14	 6	27.508	14.852	29.798	14.342
14	 7	35.732	18.558	31.195	16.399
15	 0	23.588	8.302	18.709	6.577
15	 1	28.001	12.114	25.089	10.044
15	 2	32.545	11.346	28.156	10.251
15	 3	49.538	23.987	39.354	19.969
15	 4	49.614	20.615	41.946	18.315
15	 5	46.568	13.641	35.814	12.141
15	 6	27.644	11.977	29.518	11.646
15	 7	35.330	16.958	30.847	15.837
16	 0	20.548	7.793	16.808	6.445
16	 1	23.660	10.950	21.409	9.658
16	 2	26.574	11.486	22.929	10.355
16	 3	40.942	23.138	33.844	20.230
16	 4	43.606	17.243	36.157	15.163
16	 5	41.348	13.625	30.682	11.936
16	 6	23.907	11.991	24.984	11.064
16	 7	29.238	13.399	25.524	12.311
17	 0	26.329	9.714	20.931	7.872
17	 1	30.380	11.666	26.852	9.820
17	 2	33.282	13.838	28.618	12.004
17	 3	53.374	26.469	42.407	22.681
17	 4	53.799	22.632	44.932	19.521
17	 5	54.022	15.913	38.858	14.326
17	 6	28.061	12.885	31.389	13.352
17	 7	36.012	15.360	32.213	14.623
18	 0	34.879	11.025	27.897	8.995
18	 1	42.071	18.052	37.292	15.347
18	 2	45.189	18.070	38.027	15.370
18	 3	80.255	38.448	58.703	32.643
18	 4	77.375	29.229	60.395	23.852
18	 5	90.701	22.360	52.825	18.375
18	 6	35.858	16.995	40.609	17.499
18	 7	51.532	20.836	43.803	19.433
19	 0	45.006	16.956	36.494	13.645
19	 1	54.949	25.503	49.962	22.089
19	 2	60.697	20.972	50.219	19.071
19	 3	123.124	51.003	81.430	43.088
19	 4	110.421	39.924	82.243	33.218
19	 5	  NaN	37.744	75.474	28.663
19	 6	44.445	21.643	53.890	24.240
19	 7	70.758	27.942	60.432	26.407
20	 0	55.802	20.036	44.697	16.735
20	 1	68.375	28.632	61.671	26.852
20	 2	75.501	30.984	59.458	24.056
20	 3	161.708	67.676	99.235	50.894
20	 4	133.607	48.825	97.776	39.965
20	 5	  NaN	39.603	90.916	31.872
20	 6	50.173	23.619	61.511	27.237
20	 7	86.281	35.594	70.429	29.194
21	 0	56.640	21.946	47.969	18.323
21	 1	73.170	32.731	68.302	30.264
21	 2	87.522	32.360	66.580	26.515
21	 3	171.262	85.696	113.664	57.749
21	 4	142.222	72.113	104.341	52.309
21	 5	  NaN	56.052	105.721	30.732
21	 6	51.845	22.279	69.119	28.647
21	 7	101.769	37.791	83.377	32.763
22	 0	64.120	30.571	54.757	25.243
22	 1	88.424	50.229	82.396	40.894
22	 2	105.024	49.845	76.303	32.660
22	 3	  NaN	131.890	139.139	66.897
22	 4	148.500	111.791	131.582	80.608
22	 5	  NaN	  NaN	136.335	49.459
22	 6	57.856	30.117	83.450	39.700
22	 7	118.615	52.899	105.858	45.121
23	 0	80.245	38.595	69.021	31.834
23	 1	113.875	65.044	106.647	59.349
23	 2	150.395	83.244	92.009	44.353
23	 3	  NaN	170.497	192.090	73.346
23	 4	213.835	213.598	186.249	85.664
23	 5	  NaN	  NaN	189.921	78.736
23	 6	66.025	32.990	106.817	54.789
23	 7	163.177	78.292	146.786	58.371
24	 0	79.511	38.658	70.515	32.723
24	 1	120.647	70.715	116.191	59.657
24	 2	141.185	70.504	100.819	43.244
24	 3	  NaN	225.278	220.737	98.176
24	 4	234.976	180.478	196.117	128.838
24	 5	  NaN	  NaN	214.490	79.800
24	 6	71.281	34.016	114.801	49.010
24	 7	179.761	75.695	149.582	63.059
25	 0	68.794	30.703	58.238	24.316
25	 1	96.932	49.575	91.548	41.668
25	 2	118.727	50.934	85.579	37.952
25	 3	  NaN	163.113	163.188	98.599
25	 4	192.176	78.798	142.090	68.254
25	 5	  NaN	  NaN	152.934	39.901
25	 6	61.008	27.563	89.386	37.244
25	 7	132.690	49.747	111.943	49.522
26	 0	59.115	21.447	47.097	17.689
26	 1	74.496	33.193	67.743	29.330
26	 2	83.600	36.671	64.515	29.495
26	 3	191.479	82.268	112.879	60.056
26	 4	158.353	59.762	112.667	45.858
26	 5	  NaN	49.515	105.954	36.766
26	 6	53.507	26.971	69.356	29.536
26	 7	94.595	36.633	79.022	34.621
27	 0	45.293	17.046	36.956	13.927
27	 1	58.456	29.107	51.368	23.949
27	 2	66.992	26.776	52.998	21.576
27	 3	131.376	60.347	85.000	49.323
27	 4	119.131	47.085	85.909	39.040
27	 5	  NaN	38.190	82.729	29.221
27	 6	44.827	22.036	55.895	25.336
27	 7	73.508	29.324	63.940	27.057
28	 0	34.266	11.203	27.451	9.050
28	 1	41.499	18.897	37.007	16.202
28	 2	45.764	18.934	37.734	15.246
28	 3	83.062	37.802	59.812	31.733
28	 4	80.375	28.164	61.573	23.813
28	 5	87.350	21.339	52.976	19.054
28	 6	35.361	18.055	40.635	16.675
28	 7	51.264	22.301	42.990	18.949
29	 0	23.123	7.900	19.203	6.525
29	 1	28.563	11.951	25.143	10.458
29	 2	31.846	11.925	26.669	10.074
29	 3	52.275	26.056	40.633	21.712
29	 4	53.058	19.700	43.229	16.905
29	 5	51.093	14.415	36.205	12.333
29	 6	26.521	12.165	29.049	11.353
29	 7	34.873	14.074	30.216	12.347
30	 0	17.850	7.468	14.822	6.310
30	 1	21.139	9.085	18.984	8.033
30	 2	23.845	9.341	20.378	7.964
30	 3	37.536	19.862	30.770	17.180
30	 4	39.517	16.798	32.797	14.355
30	 5	36.181	11.029	27.195	9.300
30	 6	21.542	9.671	22.460	9.100
30	 7	25.991	10.833	22.709	9.695
31	 0	18.038	5.648	14.716	4.594
31	 1	21.684	9.447	18.881	8.215
31	 2	24.219	9.779	20.553	8.327
31	 3	37.820	18.550	30.504	16.171
31	 4	39.356	13.772	32.536	11.441
31	 5	35.919	10.834	26.649	9.489
31	 6	21.113	10.066	21.997	9.420
31	 7	25.644	10.590	22.366	9.586
