Peaking Times - based on Mean values without Outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
0.2917	0.2917	0.2917	0.2917	0.2708	0.2708	0.2708	0.2708	0.3125	0.2708	0.2708	0.2708	0.2708	0.2917	0.2708	0.2708	0.2917	0.2917	0.2917	0.2708	0.2917	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2917	0.2708	0.2786	0.0115	0.2708	 11	0.2708	0.0000
0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4375	0.4375	0.4583	0.4570	0.0051	0.4583	  2	0.4583	0.0000
0.6458	0.6250	0.6458	0.6250	0.6667	0.6458	0.6458	0.6458	0.6667	0.6667	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6458	0.6667	0.6667	0.6667	0.6667	0.6458	0.6458	0.6667	0.6667	0.6667	0.6458	0.6458	0.6250	0.6250	0.6458	0.6458	0.6497	0.0134	0.6458	 14	0.6458	0.0000
0.8125	0.8125	0.7917	0.7917	0.8125	0.8125	0.7917	0.8333	0.8333	0.7917	0.8333	0.8125	0.8333	0.8333	0.8333	0.8125	0.8125	0.8333	0.8542	0.8125	0.8125	0.8333	0.7917	0.7917	0.7917	0.7917	0.8125	0.7917	0.8333	0.7917	0.8125	0.8125	0.8132	0.0179	0.8125	  0	0.8132	0.0179
1.0000	0.9583	0.9583	1.0000	0.9792	1.0000	0.9792	1.0000	1.0208	1.0000	1.0208	1.0000	1.0208	1.0208	1.0000	1.0000	0.9792	1.0000	0.9792	0.9375	1.0208	0.9792	0.9583	0.9375	0.9583	0.9375	0.9792	0.9792	0.9792	0.9792	1.0000	0.9792	0.9857	0.0245	0.9792	  0	0.9857	0.0245
1.2500	1.2500	1.2500	1.2292	1.2708	1.2500	1.2500	1.2500	1.2292	1.2500	1.2292	1.2292	1.2500	1.2500	1.2708	1.2708	1.2708	1.2708	1.2500	1.2292	1.2500	1.2500	1.2500	1.2708	1.2500	1.2500	1.2500	1.2500	1.2500	1.2708	1.2708	1.2292	1.2513	0.0139	1.2500	 14	1.2500	0.0000
1.5000	1.5000	1.5833	1.5000	1.4792	1.4792	1.5000	1.5833	1.4792	1.4792	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.4792	1.5000	1.5000	1.5000	1.4792	1.5000	1.5013	0.0230	1.5000	  8	1.5000	0.0000
1.7708	1.8125	1.7917	1.7708	1.7708	1.8125	1.7708	1.8125	1.8125	1.7708	1.8125	1.8125	1.8125	1.8333	1.8333	1.8125	1.7708	1.7708	1.8333	1.7917	1.7708	1.8125	1.7708	1.7708	1.7708	1.7708	1.7708	1.7708	1.7708	1.7708	1.7708	1.7708	1.7897	0.0233	1.7708	 14	1.7708	0.0000
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Peaking Times - based on Mean values with outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
0.2917	0.2917	0.2917	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2917	0.2708	0.2708	0.2917	0.2917	0.2917	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2708	0.2917	0.2708	0.2760	0.0092	0.2708	  8	0.2708	0.0000
0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4375	0.4583	0.4577	0.0037	0.4583	  1	0.4583	0.0000
0.6458	0.6250	0.6458	0.6250	0.6667	0.6458	0.6458	0.6667	0.6667	0.6667	0.6458	0.6458	0.6667	0.6458	0.6458	0.6458	0.6458	0.6667	0.6667	0.6250	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6458	0.6250	0.6250	0.6250	0.6458	0.6250	0.6497	0.0163	0.6458	  0	0.6497	0.0163
